NumberOfThreads, TotalCreationTime, TotalRSS
6000, 0.096170, 51076
6000, 0.094929, 51120
6000, 0.093619, 51144
6000, 0.093238, 51008
6000, 0.092139, 51040
6000, 0.096238, 51084
6000, 0.089284, 51004
6000, 0.094068, 51136
6000, 0.090289, 51080
6000, 0.088198, 51040
6000, 0.088788, 51004
6000, 0.089485, 51076
6000, 0.090407, 51136
6000, 0.094342, 51076
6000, 0.094332, 51076
6000, 0.092445, 51040
6000, 0.092567, 51084
6000, 0.090067, 51068
6000, 0.091568, 51040
6000, 0.090526, 51136
6000, 0.095450, 51136
6000, 0.089965, 51040
6000, 0.087456, 51072
6000, 0.107871, 51056
6000, 0.092896, 51076
6000, 0.090070, 51120
6000, 0.091409, 51004
6000, 0.096548, 51120
6000, 0.090183, 51076
6000, 0.092714, 51136
6000, 0.091742, 51120
6000, 0.093102, 51132
6000, 0.093128, 51136
6000, 0.094667, 51132
6000, 0.094052, 51144
6000, 0.091727, 51076
6000, 0.091971, 51096
6000, 0.090766, 51132
6000, 0.092298, 51040
6000, 0.092885, 51068
6000, 0.099005, 51056
6000, 0.095275, 51076
6000, 0.088487, 51136
6000, 0.091081, 51076
6000, 0.093503, 51136
6000, 0.090578, 51068
6000, 0.091894, 51132
6000, 0.091691, 51136
6000, 0.088385, 51076
6000, 0.093130, 51096
6000, 0.092705, 51048
6000, 0.092940, 51136
6000, 0.092213, 51096
6000, 0.091330, 51136
6000, 0.088904, 51096
6000, 0.093597, 51096
6000, 0.090795, 51048
6000, 0.090154, 51040
6000, 0.096185, 51132
6000, 0.097496, 51084
6000, 0.090900, 51136
6000, 0.089736, 51136
6000, 0.091754, 51132
6000, 0.096827, 51076
6000, 0.088716, 51076
6000, 0.091154, 51076
6000, 0.093278, 51076
6000, 0.094343, 51144
6000, 0.093043, 51136
6000, 0.094900, 51004
6000, 0.089486, 51120
6000, 0.095761, 51048
6000, 0.092791, 51120
6000, 0.092743, 51120
6000, 0.092919, 51136
6000, 0.096968, 51120
6000, 0.092244, 51084
6000, 0.093318, 51076
6000, 0.086953, 51004
6000, 0.092397, 51040
6000, 0.090047, 51120
6000, 0.090840, 51076
6000, 0.093793, 51136
6000, 0.089479, 51056
6000, 0.090102, 51132
6000, 0.088451, 51068
6000, 0.092057, 51076
6000, 0.091759, 51056
6000, 0.090620, 51052
6000, 0.093143, 51076
6000, 0.094488, 51040
6000, 0.092253, 51132
6000, 0.092531, 51120
6000, 0.092696, 51084
6000, 0.088622, 51068
6000, 0.090808, 51120
6000, 0.093032, 51048
6000, 0.090504, 51084
6000, 0.090494, 51076
6000, 0.090602, 51132
7000, 0.116471, 59516
7000, 0.108310, 59504
7000, 0.112120, 59524
7000, 0.108881, 59592
7000, 0.109925, 59544
7000, 0.107699, 59592
7000, 0.108692, 59504
7000, 0.107782, 59580
7000, 0.111457, 59588
7000, 0.109014, 59504
7000, 0.110757, 59516
7000, 0.103440, 59488
7000, 0.106692, 59580
7000, 0.110698, 59584
7000, 0.105311, 59580
7000, 0.110166, 59496
7000, 0.109837, 59580
7000, 0.108293, 59580
7000, 0.108412, 59580
7000, 0.111097, 59488
7000, 0.105327, 59584
7000, 0.107142, 59504
7000, 0.110399, 59584
7000, 0.108611, 59584
7000, 0.126197, 59452
7000, 0.104865, 59584
7000, 0.109449, 59592
7000, 0.104555, 59584
7000, 0.110112, 59580
7000, 0.108607, 59516
7000, 0.104498, 59584
7000, 0.105946, 59496
7000, 0.108539, 59592
7000, 0.107783, 59584
7000, 0.108578, 59524
7000, 0.107262, 59516
7000, 0.110349, 59504
7000, 0.101922, 59580
7000, 0.108810, 59532
7000, 0.112100, 59504
7000, 0.106433, 59488
7000, 0.105923, 59528
7000, 0.107125, 59584
7000, 0.104604, 59452
7000, 0.110481, 59524
7000, 0.107099, 59524
7000, 0.111150, 59584
7000, 0.109704, 59584
7000, 0.111310, 59524
7000, 0.106775, 59516
7000, 0.107498, 59524
7000, 0.111609, 59532
7000, 0.109399, 59532
7000, 0.109091, 59452
7000, 0.109943, 59488
7000, 0.108313, 59524
7000, 0.103770, 59584
7000, 0.110858, 59524
7000, 0.114325, 59584
7000, 0.106744, 59524
7000, 0.108252, 59504
7000, 0.107920, 59524
7000, 0.104049, 59524
7000, 0.107553, 59568
7000, 0.109396, 59568
7000, 0.106614, 59592
7000, 0.116147, 59584
7000, 0.110744, 59524
7000, 0.104931, 59524
7000, 0.106993, 59580
7000, 0.105149, 59580
7000, 0.110165, 59532
7000, 0.114995, 59516
7000, 0.113612, 59592
7000, 0.108435, 59584
7000, 0.105771, 59516
7000, 0.105377, 59524
7000, 0.118139, 59496
7000, 0.109492, 59592
7000, 0.107795, 59504
7000, 0.105653, 59524
7000, 0.107532, 59592
7000, 0.104562, 59592
7000, 0.108022, 59496
7000, 0.103609, 59532
7000, 0.107999, 59504
7000, 0.111769, 59524
7000, 0.104680, 59568
7000, 0.106094, 59488
7000, 0.105864, 59496
7000, 0.111325, 59524
7000, 0.107632, 59452
7000, 0.106596, 59584
7000, 0.108432, 59568
7000, 0.105678, 59532
7000, 0.105538, 59452
7000, 0.110341, 59584
7000, 0.115276, 59536
7000, 0.102546, 59452
7000, 0.107757, 59524
7000, 0.106510, 59496
8000, 0.135782, 67672
8000, 0.119902, 67728
8000, 0.128946, 67752
8000, 0.124960, 67764
8000, 0.126260, 67776
8000, 0.134512, 67716
8000, 0.125258, 67768
8000, 0.127488, 67728
8000, 0.124543, 67672
8000, 0.124333, 67708
8000, 0.127996, 67772
8000, 0.119893, 67708
8000, 0.123559, 67708
8000, 0.130090, 67768
8000, 0.122599, 67688
8000, 0.121158, 67716
8000, 0.120572, 67764
8000, 0.127336, 67764
8000, 0.125919, 67776
8000, 0.125461, 67776
8000, 0.129173, 67768
8000, 0.120617, 67768
8000, 0.123401, 67768
8000, 0.125345, 67728
8000, 0.120334, 67768
8000, 0.117654, 67768
8000, 0.127252, 67776
8000, 0.131600, 67768
