NumberCreated, TotalCreationTime, TotalRSS
40, 0.002530, 4584
40, 0.002996, 3648
40, 0.001835, 4544
40, 0.002694, 3736
40, 0.003235, 4588
40, 0.003143, 4580
40, 0.002449, 3736
40, 0.002527, 4532
40, 0.002578, 4528
40, 0.002348, 3588
40, 0.003589, 4584
40, 0.003353, 4520
40, 0.002535, 4540
40, 0.001211, 3736
40, 0.003024, 4580
40, 0.003294, 3696
40, 0.001147, 4504
40, 0.002090, 3596
40, 0.002520, 4580
40, 0.001277, 4540
40, 0.001265, 4540
40, 0.001114, 3596
40, 0.001873, 3596
40, 0.002444, 3696
40, 0.003252, 3692
40, 0.003006, 4532
40, 0.003074, 4528
40, 0.002895, 3736
40, 0.003011, 3648
40, 0.003048, 4184
40, 0.002697, 3596
40, 0.003223, 4520
40, 0.001571, 3692
40, 0.002535, 3648
40, 0.001665, 3692
40, 0.002959, 3588
40, 0.001530, 3592
40, 0.003545, 3648
40, 0.003168, 3832
40, 0.002596, 3596
40, 0.001032, 4580
40, 0.002928, 3676
40, 0.001147, 4532
40, 0.002480, 3648
40, 0.001501, 4268
40, 0.002347, 3592
40, 0.002967, 3676
40, 0.003088, 3636
40, 0.002635, 4532
40, 0.003186, 4588
40, 0.001267, 4540
40, 0.001427, 3736
40, 0.003029, 3648
40, 0.001377, 3676
40, 0.003106, 3588
40, 0.002738, 3596
40, 0.002898, 3648
40, 0.002820, 3676
40, 0.001130, 3692
40, 0.001721, 3668
40, 0.003037, 3696
40, 0.001536, 3592
40, 0.001821, 4532
40, 0.001304, 4584
40, 0.002482, 4520
40, 0.001247, 3592
40, 0.003112, 3668
40, 0.003106, 4528
40, 0.001674, 4584
40, 0.003196, 3668
40, 0.002235, 3588
40, 0.001730, 4532
40, 0.003406, 3676
40, 0.001327, 4544
40, 0.001880, 3648
40, 0.002638, 3668
50, 0.003724, 4936
50, 0.003490, 5060
50, 0.003514, 5048
50, 0.003637, 5012
50, 0.003201, 4980
50, 0.002692, 5244
50, 0.002342, 5108
50, 0.002799, 5052
50, 0.003248, 4992
50, 0.002998, 5012
50, 0.003632, 4952
50, 0.003361, 5012
50, 0.001546, 4956
50, 0.002211, 4952
50, 0.002748, 5052
50, 0.003148, 4976
50, 0.003106, 4992
50, 0.003910, 4952
50, 0.002472, 5048
50, 0.003081, 5108
50, 0.001789, 4968
50, 0.003200, 5048
50, 0.003117, 5036
50, 0.003000, 5056
50, 0.003398, 4952
50, 0.003038, 5048
50, 0.002224, 5040
50, 0.002029, 5036
50, 0.003367, 5056
50, 0.003161, 5048
50, 0.003415, 5040
50, 0.003502, 4980
50, 0.003936, 4948
50, 0.001770, 5040
50, 0.003071, 4928
50, 0.001685, 4992
50, 0.003990, 5032
50, 0.003924, 4952
50, 0.002407, 5048
50, 0.003025, 4968
50, 0.001742, 4996
50, 0.003430, 5156
50, 0.001630, 5108
50, 0.002993, 4952
50, 0.003136, 4948
50, 0.003873, 4956
50, 0.003585, 5056
50, 0.001730, 4872
50, 0.003117, 5056
50, 0.003291, 5000
50, 0.001332, 5056
50, 0.002696, 4952
50, 0.001932, 4960
50, 0.001484, 4976
50, 0.003233, 5048
50, 0.003350, 4980
50, 0.002781, 4936
50, 0.003610, 5032
50, 0.002278, 4892
50, 0.002813, 5032
50, 0.001742, 4952
50, 0.003004, 4980
50, 0.002855, 4968
50, 0.002223, 4936
50, 0.002937, 5048
50, 0.003311, 5000
50, 0.003012, 4960
50, 0.001769, 4892
50, 0.003188, 4928
50, 0.003539, 4960
50, 0.002952, 5056
50, 0.003450, 4980
50, 0.003319, 5040
50, 0.003412, 4976
50, 0.003158, 4928
50, 0.003132, 5052
50, 0.002344, 4952
50, 0.002060, 4960
50, 0.001782, 5108
50, 0.003482, 5040
50, 0.002555, 4928
50, 0.003728, 4996
50, 0.002804, 5036
50, 0.004365, 4892
50, 0.003574, 5036
50, 0.003187, 5216
50, 0.003298, 5048
50, 0.004062, 4952
50, 0.002359, 4976
50, 0.003268, 4992
50, 0.003833, 5204
50, 0.003716, 4956
50, 0.001854, 5108
50, 0.001818, 4960
50, 0.003736, 5040
50, 0.003362, 5032
50, 0.003030, 5000
50, 0.002515, 5052
50, 0.004232, 4888
50, 0.002971, 5040
50, 0.001381, 5108
60, 0.003737, 5708
60, 0.001611, 5620
60, 0.003193, 5708
60, 0.004221, 5620
60, 0.001562, 5552
60, 0.003699, 5652
60, 0.003820, 5544
60, 0.002325, 5692
60, 0.001888, 5708
60, 0.004405, 5768
60, 0.003648, 5624
60, 0.003155, 5636
60, 0.002647, 5592
60, 0.002474, 5708
60, 0.004015, 5652
60, 0.002764, 5708
60, 0.004403, 5548
60, 0.004408, 5544
60, 0.001833, 5636
60, 0.004275, 5652
60, 0.003697, 5636
60, 0.004183, 5708
60, 0.003627, 5544
60, 0.002820, 5624
60, 0.001838, 5636
60, 0.003600, 5584
60, 0.002998, 5952
60, 0.003361, 5592
60, 0.003739, 5584
60, 0.004043, 5604
60, 0.003817, 5592
60, 0.004303, 5768
60, 0.004607, 5696
60, 0.002152, 5636
60, 0.002298, 5652
60, 0.004594, 5692
60, 0.002133, 5696
60, 0.002282, 5708
60, 0.005109, 5552
60, 0.004589, 5708
60, 0.003605, 5696
60, 0.003964, 5708
60, 0.002956, 5544
60, 0.001892, 5708
60, 0.004876, 5584
60, 0.004245, 5692
60, 0.004383, 5620
60, 0.003034, 5592
60, 0.004032, 5592
60, 0.001505, 5548
60, 0.002723, 5708
60, 0.003446, 5696
60, 0.003286, 5544
60, 0.004655, 5652
60, 0.003031, 5864
60, 0.002390, 5708
60, 0.003502, 5544
60, 0.002737, 5592
60, 0.002529, 5768
60, 0.003500, 5768
60, 0.003875, 5708
60, 0.003383, 5768
60, 0.001910, 5768
60, 0.003320, 5604
60, 0.004150, 5552
60, 0.002999, 5592
60, 0.003890, 5552
60, 0.004232, 5636
60, 0.003429, 5548
60, 0.002441, 5708
60, 0.002246, 5592
60, 0.004447, 5612
60, 0.004345, 5708
60, 0.001773, 5624
60, 0.004475, 5552
60, 0.001690, 5692
60, 0.002356, 5636
60, 0.002323, 5584
60, 0.003669, 5708
60, 0.001913, 5636
60, 0.003436, 5604
60, 0.003835, 5692
60, 0.004329, 5708
60, 0.003040, 5548
60, 0.004279, 5548
60, 0.004279, 5592
60, 0.004074, 5644
60, 0.002095, 5652
60, 0.003197, 5652
60, 0.003119, 5548
60, 0.001835, 5708
60, 0.004121, 5584
60, 0.003586, 5552
60, 0.004095, 5692
60, 0.004010, 5584
60, 0.002053, 5620
60, 0.004222, 5696
60, 0.002061, 5604
60, 0.004469, 5636
60, 0.004223, 5624
60, 0.001659, 5604
70, 0.004437, 6312
70, 0.004991, 6416
70, 0.004813, 6488
70, 0.004180, 6264
70, 0.003614, 6624
70, 0.003924, 6264
70, 0.001855, 6304
70, 0.003893, 6372
70, 0.004205, 6428
70, 0.004912, 6268
70, 0.004625, 6488
70, 0.004799, 6264
70, 0.002046, 6268
70, 0.003314, 6344
70, 0.002059, 6324
70, 0.004641, 6416
70, 0.002315, 6304
70, 0.003625, 6372
70, 0.002330, 6428
70, 0.002462, 6312
70, 0.004482, 6324
70, 0.004884, 6304
70, 0.005076, 6428
70, 0.002607, 6272
70, 0.002188, 6268
70, 0.004835, 6304
70, 0.002089, 6264
70, 0.004690, 6268
70, 0.004886, 6344
70, 0.002550, 6324
70, 0.004627, 6312
70, 0.002309, 6264
70, 0.004907, 6416
70, 0.002070, 6372
70, 0.003960, 6304
70, 0.004882, 6488
70, 0.005094, 6412
70, 0.005761, 6372
70, 0.005290, 6264
70, 0.005007, 6264
70, 0.002417, 6412
70, 0.004243, 6372
70, 0.004916, 6416
70, 0.002721, 6272
70, 0.003735, 6312
70, 0.005158, 6412
70, 0.002224, 6340
70, 0.004073, 6272
70, 0.004916, 6412
70, 0.004575, 6488
70, 0.005066, 6340
70, 0.005244, 6344
70, 0.004283, 6416
70, 0.002102, 6416
70, 0.002343, 6416
70, 0.005082, 6304
70, 0.003932, 6416
70, 0.004202, 6356
70, 0.003723, 6268
70, 0.004303, 6488
70, 0.004868, 6488
70, 0.004690, 6272
70, 0.004725, 6488
70, 0.003570, 6428
70, 0.004918, 6356
70, 0.002330, 6412
70, 0.002292, 6428
70, 0.002265, 6268
70, 0.002475, 6268
70, 0.004901, 6312
70, 0.003952, 6312
70, 0.002216, 6416
70, 0.002614, 6340
70, 0.004977, 6268
70, 0.002123, 6344
70, 0.005631, 6264
70, 0.002096, 6428
70, 0.006277, 6372
70, 0.005045, 6272
70, 0.002235, 6264
70, 0.001772, 6340
70, 0.003483, 6416
70, 0.004086, 6324
70, 0.003983, 6428
70, 0.005191, 6372
70, 0.003197, 6340
70, 0.002513, 6312
70, 0.003453, 6416
70, 0.004003, 6412
70, 0.002951, 6340
70, 0.002400, 6412
70, 0.005032, 6304
70, 0.002097, 6488
70, 0.004228, 6416
70, 0.003557, 6272
70, 0.004617, 6344
70, 0.002199, 6416
70, 0.005432, 6304
70, 0.005194, 6312
70, 0.005497, 6428
70, 0.006178, 6772
80, 0.005971, 7024
80, 0.006736, 7044
80, 0.005877, 7032
80, 0.002344, 6992
80, 0.005945, 7044
80, 0.005944, 7044
80, 0.002321, 7148
