NumberCreated, TotalCreationTime, TotalRSS
20, 0.000777, 832
20, 0.000763, 876
20, 0.000912, 792
20, 0.000772, 796
20, 0.000942, 820
20, 0.000690, 868
20, 0.001010, 788
20, 0.000704, 820
20, 0.000880, 800
20, 0.000853, 840
20, 0.000931, 820
20, 0.001059, 868
20, 0.000760, 936
20, 0.000775, 780
20, 0.000873, 876
20, 0.000724, 816
20, 0.000887, 800
20, 0.001012, 876
20, 0.000868, 820
20, 0.000843, 840
20, 0.000954, 816
20, 0.000867, 792
20, 0.000761, 888
20, 0.000976, 820
20, 0.001035, 792
20, 0.001030, 796
20, 0.000989, 792
20, 0.000767, 892
20, 0.000971, 816
20, 0.000810, 800
20, 0.001102, 820
20, 0.000757, 788
20, 0.000839, 792
20, 0.000630, 876
20, 0.001323, 840
20, 0.001151, 888
20, 0.001111, 888
20, 0.001035, 788
20, 0.000864, 820
20, 0.000789, 888
20, 0.000962, 788
20, 0.000868, 804
20, 0.000785, 888
20, 0.000817, 896
20, 0.000721, 868
20, 0.000846, 876
20, 0.000680, 888
20, 0.000963, 800
20, 0.000926, 936
20, 0.000702, 876
20, 0.000999, 840
20, 0.001076, 824
20, 0.001250, 824
20, 0.000814, 840
20, 0.000939, 840
20, 0.001035, 888
20, 0.000771, 896
20, 0.001094, 892
20, 0.000860, 796
20, 0.000773, 800
20, 0.000849, 788
20, 0.001020, 936
20, 0.000862, 936
20, 0.000916, 792
20, 0.000575, 820
20, 0.000975, 796
20, 0.001073, 824
20, 0.000828, 820
20, 0.000690, 788
20, 0.001211, 876
20, 0.001046, 880
20, 0.000946, 824
20, 0.000857, 816
20, 0.000542, 876
20, 0.000937, 800
20, 0.000697, 880
20, 0.001002, 892
20, 0.001065, 796
20, 0.000755, 820
20, 0.000709, 800
20, 0.000993, 876
20, 0.000779, 848
20, 0.000786, 892
20, 0.000895, 824
20, 0.000812, 820
20, 0.000764, 816
20, 0.001016, 792
20, 0.001019, 868
20, 0.000837, 848
20, 0.000899, 796
20, 0.000836, 892
20, 0.000931, 876
20, 0.000881, 800
20, 0.000922, 936
20, 0.000818, 876
20, 0.000765, 840
20, 0.000314, 800
20, 0.000715, 796
30, 0.001687, 1708
30, 0.001338, 1776
30, 0.001214, 1780
30, 0.000888, 1716
30, 0.001606, 1768
30, 0.001045, 1708
30, 0.001411, 1768
30, 0.001178, 1764
30, 0.001013, 1764
30, 0.000839, 1776
30, 0.001273, 1688
30, 0.001202, 1708
30, 0.001068, 1716
30, 0.001180, 1776
30, 0.001607, 1708
30, 0.001121, 1728
30, 0.001434, 1768
30, 0.001290, 1672
30, 0.001183, 1768
30, 0.001420, 1768
30, 0.001428, 1672
30, 0.001447, 1700
30, 0.001476, 1680
30, 0.001452, 1768
30, 0.001534, 1636
30, 0.001211, 1708
30, 0.000661, 1768
30, 0.001528, 1716
30, 0.001286, 1700
30, 0.001198, 1636
30, 0.001303, 1700
30, 0.000824, 1768
30, 0.000662, 1672
30, 0.001134, 1716
30, 0.001650, 1752
30, 0.001548, 1700
30, 0.001105, 1708
30, 0.001328, 1764
30, 0.001125, 1680
30, 0.001484, 1768
30, 0.001515, 1752
30, 0.001460, 1708
30, 0.001363, 1708
30, 0.000921, 1752
30, 0.001276, 1768
30, 0.000494, 1708
30, 0.000799, 1752
30, 0.001596, 1764
30, 0.000746, 1688
30, 0.000501, 1768
30, 0.000538, 1680
30, 0.001488, 1768
30, 0.001210, 1768
30, 0.001365, 1708
30, 0.001215, 1768
30, 0.001393, 1708
30, 0.001403, 1708
30, 0.001503, 1672
30, 0.001604, 1680
30, 0.001274, 1672
30, 0.001326, 1688
30, 0.001216, 1728
30, 0.001481, 1688
30, 0.001707, 1708
30, 0.000534, 1636
30, 0.001179, 1708
30, 0.001070, 1716
30, 0.001506, 1716
30, 0.001546, 1764
30, 0.001398, 1688
30, 0.001036, 1700
30, 0.001123, 1672
30, 0.001486, 1768
30, 0.001176, 1680
30, 0.001215, 1716
30, 0.001217, 1716
30, 0.000641, 1776
30, 0.001284, 1768
30, 0.001569, 1768
30, 0.000728, 1768
30, 0.001291, 1708
30, 0.001298, 1752
30, 0.001107, 1712
30, 0.001301, 1768
30, 0.001277, 1716
30, 0.001455, 1672
30, 0.001281, 1776
30, 0.001294, 1776
30, 0.001280, 1680
30, 0.001209, 1728
30, 0.001352, 1712
30, 0.001211, 1768
30, 0.000591, 1708
30, 0.000711, 1752
30, 0.001289, 1712
30, 0.000522, 1700
30, 0.001163, 1672
30, 0.000691, 1708
30, 0.001666, 1688
30, 0.001561, 1708
30, 0.001058, 1768
40, 0.001619, 1768
40, 0.000840, 1728
40, 0.001841, 1768
40, 0.001679, 1776
40, 0.001878, 1688
40, 0.001574, 1636
40, 0.000840, 1688
40, 0.000764, 1728
40, 0.000659, 1708
40, 0.001526, 1768
40, 0.000868, 1708
