NumberOfProcess, TotalCreationTime, TotalRSS
8000, 0.197349, 577376
8000, 0.202816, 577300
8000, 0.195639, 577376
8000, 0.201873, 577264
8000, 0.200159, 577376
8000, 0.192284, 577264
8000, 0.199128, 577260
8000, 0.193169, 577232
8000, 0.194768, 577228
8000, 0.195989, 577372
8000, 0.206956, 577388
8000, 0.192420, 577448
8000, 0.195455, 577316
8000, 0.190021, 577376
8000, 0.199438, 577272
8000, 0.207270, 577376
8000, 0.193379, 577388
8000, 0.194002, 577228
8000, 0.197484, 577228
8000, 0.195982, 577388
8000, 0.200386, 577284
8000, 0.191340, 577284
9000, 0.216742, 649284
9000, 0.223437, 649332
9000, 0.217667, 649232
9000, 0.215743, 649388
9000, 0.218490, 649232
9000, 0.220662, 649388
9000, 0.222202, 649284
9000, 0.218567, 649264
9000, 0.227185, 649448
9000, 0.213765, 649448
9000, 0.213703, 649448
9000, 0.257576, 649304
9000, 0.218448, 594040
9000, 0.220958, 649388
9000, 0.216563, 649388
9000, 0.220960, 685236
9000, 0.216346, 649376
9000, 0.234293, 649588
9000, 0.220382, 649228
9000, 0.217297, 649232
9000, 0.217723, 649316
9000, 0.216503, 649228
9000, 0.222860, 649372
9000, 0.218792, 649224
9000, 0.219034, 649376
9000, 0.222431, 649232
9000, 0.220186, 649448
9000, 0.215801, 649264
9000, 0.221985, 649376
9000, 0.221465, 648180
9000, 0.211683, 649300
9000, 0.220654, 649376
9000, 0.217351, 649388
9000, 0.220635, 649332
9000, 0.221750, 649372
9000, 0.231135, 649480
9000, 0.217559, 649376
9000, 0.220485, 649300
9000, 0.216203, 649388
9000, 0.214976, 649372
9000, 0.215970, 649388
9000, 0.217104, 649388
9000, 0.233689, 649520
9000, 0.217552, 649284
9000, 0.245372, 649584
9000, 0.230985, 649528
9000, 0.209938, 685376
9000, 0.218692, 649304
9000, 0.209546, 649388
9000, 0.216722, 649316
9000, 0.218520, 649376
9000, 0.224097, 649300
9000, 0.216255, 647752
9000, 0.218616, 649316
9000, 0.223258, 617100
9000, 0.220742, 649304
9000, 0.218720, 649224
9000, 0.233088, 649508
9000, 0.211569, 649300
9000, 0.214678, 649388
9000, 0.217884, 649448
9000, 0.220952, 649264
9000, 0.215319, 649264
9000, 0.220545, 649300
9000, 0.218161, 649264
9000, 0.219613, 649272
9000, 0.215512, 649372
9000, 0.217193, 685276
9000, 0.218046, 649372
9000, 0.223508, 649264
9000, 0.219396, 631736
9000, 0.219533, 649376
9000, 0.216600, 649376
9000, 0.221233, 649388
9000, 0.215293, 649316
9000, 0.220951, 649228
9000, 0.216734, 649300
9000, 0.213862, 649388
9000, 0.242213, 649488
9000, 0.222526, 649376
9000, 0.219018, 649388
9000, 0.226024, 649228
9000, 0.235316, 649584
9000, 0.215974, 649300
9000, 0.219704, 649264
9000, 0.219062, 649376
9000, 0.220047, 627128
9000, 0.220501, 649448
9000, 0.220985, 649316
9000, 0.220639, 649376
9000, 0.220132, 649448
9000, 0.215205, 649388
9000, 0.222041, 649388
9000, 0.218967, 649388
9000, 0.226340, 649228
9000, 0.213792, 649300
9000, 0.225147, 649228
9000, 0.226423, 649264
9000, 0.219328, 649376
9000, 0.218765, 649264
9000, 0.216700, 685392
10000, 0.247495, 721376
10000, 0.245635, 721376
10000, 0.247546, 721284
10000, 0.237585, 721228
10000, 0.245495, 656936
10000, 0.244758, 660332
10000, 0.250083, 721304
10000, 0.241407, 721232
10000, 0.237611, 721300
10000, 0.232437, 721232
10000, 0.244064, 721388
10000, 0.245698, 721448
10000, 0.244576, 652740
10000, 0.246159, 685480
10000, 0.238977, 721388
10000, 0.246439, 721272
10000, 0.241893, 721372
10000, 0.244874, 761392
10000, 0.247149, 721316
10000, 0.248701, 721228
10000, 0.244691, 636036
10000, 0.248234, 721376
10000, 0.243693, 721228
10000, 0.239738, 612596
10000, 0.240901, 721332
10000, 0.239683, 721332
10000, 0.247891, 721376
10000, 0.244643, 721372
10000, 0.243442, 634612
10000, 0.244320, 721372
10000, 0.247245, 721316
10000, 0.243901, 721388
10000, 0.243078, 721388
10000, 0.240129, 721372
10000, 0.241096, 721304
10000, 0.246604, 721376
10000, 0.249594, 664136
10000, 0.242207, 721300
10000, 0.247342, 707232
10000, 0.240386, 721224
10000, 0.244718, 721224
10000, 0.242127, 721304
10000, 0.243035, 721284
10000, 0.241033, 721304
10000, 0.249955, 646852
10000, 0.243711, 651476
10000, 0.244805, 761228
10000, 0.244454, 721224
10000, 0.261532, 721388
10000, 0.262076, 721272
10000, 0.242471, 721264
10000, 0.239916, 721448
10000, 0.244466, 655784
10000, 0.240207, 721272
10000, 0.242786, 721332
10000, 0.245954, 721264
10000, 0.244373, 721316
10000, 0.242855, 721376
10000, 0.251190, 721224
10000, 0.238369, 721448
10000, 0.247971, 666004
10000, 0.244350, 721228
10000, 0.246443, 721388
10000, 0.251393, 721304
10000, 0.246687, 721232
10000, 0.249899, 721228
10000, 0.239063, 721264
10000, 0.269565, 721388
10000, 0.239536, 657868
10000, 0.245558, 721264
10000, 0.241952, 721376
10000, 0.241110, 658416
10000, 0.243901, 721224
10000, 0.244125, 721284
10000, 0.238530, 721228
10000, 0.238092, 721228
10000, 0.241562, 661956
10000, 0.240199, 721316
10000, 0.247874, 721388
10000, 0.242242, 721284
10000, 0.247248, 721224
10000, 0.244758, 721228
10000, 0.244230, 721228
10000, 0.240869, 721372
10000, 0.240172, 670628
10000, 0.243588, 721448
10000, 0.242379, 721448
10000, 0.247310, 721272
10000, 0.244708, 721264
10000, 0.241513, 721372
10000, 0.254291, 721332
10000, 0.240896, 721264
10000, 0.252478, 671912
10000, 0.241864, 721224
10000, 0.241707, 721332
10000, 0.245122, 716404
10000, 0.242716, 721232
10000, 0.262413, 721332
10000, 0.243903, 721372
10000, 0.242417, 721376
10000, 0.243203, 678680
